,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
92,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
93,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
94,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
95,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
96,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
97,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
98,-0.30704898,0.81371003,-0.057075802,0.010661953,-0.09791863,-0.0285799
99,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
100,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
101,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
102,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
103,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
104,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
105,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
106,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
107,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
108,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
109,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
110,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
111,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
112,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
113,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
114,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
115,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
116,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
117,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
118,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
119,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
120,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
121,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
122,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
123,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
124,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
125,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
126,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
127,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
128,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
129,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
130,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
131,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
132,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
133,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
134,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
135,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
136,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
137,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
138,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
139,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
140,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
141,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
142,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
143,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
144,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
145,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
146,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
147,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
148,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
149,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
150,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
151,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
152,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
153,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
154,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
155,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
156,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
157,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
158,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
159,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
160,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
161,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
162,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
163,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
164,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
165,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
166,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
167,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
168,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
169,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
170,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
171,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
172,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
173,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
174,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
175,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
176,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
177,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
178,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
179,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
180,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
181,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
182,-0.9722217,0.7960153,0.037386443,-0.1611149,0.014480986,-0.033168294
183,-0.7504975,0.8019133,0.005899049,-0.10385593,-0.022985527,-0.03163881
184,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
185,0.5798484,0.8373025,-0.18302543,0.23969778,-0.24778487,-0.022462022
186,1.1765957,0.6604512,-0.08491134,-0.28351521,-0.02712641,-0.0043747765
187,2.37009,0.30674833,0.111316875,-1.3299414,0.41419044,0.03179968
188,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
189,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
190,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
191,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
192,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
193,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
194,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
195,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
196,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
197,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
198,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
199,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
200,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
201,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
202,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
203,-0.30704898,0.81371003,-0.057075802,0.010661953,-0.09791863,-0.0285799
204,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
205,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
206,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
207,2.37009,0.30674833,0.111316875,-1.3299414,0.41419044,0.03179968
208,0.5798484,0.8373025,-0.18302543,0.23969778,-0.24778487,-0.022462022
209,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
210,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
211,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
212,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
213,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
214,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
215,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
216,0.5798484,0.8373025,-0.18302543,0.23969778,-0.24778487,-0.022462022
217,0.5798484,0.8373025,-0.18302543,0.23969778,-0.24778487,-0.022462022
218,0.5798484,0.8373025,-0.18302543,0.23969778,-0.24778487,-0.022462022
219,0.5798484,0.8373025,-0.18302543,0.23969778,-0.24778487,-0.022462022
220,0.5798484,0.8373025,-0.18302543,0.23969778,-0.24778487,-0.022462022
221,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
222,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
223,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
224,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
225,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
226,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
227,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
228,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
229,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
230,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
231,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
232,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
233,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
234,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
235,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
236,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
237,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
238,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
239,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
240,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
241,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
242,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
243,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
244,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
245,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
246,-0.7757485,0.009942725,0.071357004,0.22681114,0.1710919,0.25504604
247,-0.7757485,0.009942725,0.071357004,0.22681114,0.1710919,0.25504604
248,-0.3322999,0.021739135,0.008382142,0.34132904,0.09615881,0.25810498
249,-0.3322999,0.021739135,0.008382142,0.34132904,0.09615881,0.25810498
250,-0.3322999,0.021739135,0.008382142,0.34132904,0.09615881,0.25810498
251,-0.3322999,0.021739135,0.008382142,0.34132904,0.09615881,0.25810498
252,0.55459744,0.045331806,-0.1175675,0.5703649,-0.053707417,0.2642229
253,0.55459744,0.045331806,-0.1175675,0.5703649,-0.053707417,0.2642229
254,0.55459744,0.045331806,-0.1175675,0.5703649,-0.053707417,0.2642229
255,0.55459744,0.045331806,-0.1175675,0.5703649,-0.053707417,0.2642229
256,-0.3281881,-0.12269579,0.14494258,-0.1655986,0.33658573,0.26861146
257,-0.3281881,-0.12269579,0.14494258,-0.1655986,0.33658573,0.26861146
258,0.562821,-0.24353793,0.1555533,-0.4434905,0.4271465,0.28523585
259,0.562821,-0.24353793,0.1555533,-0.4434905,0.4271465,0.28523585
260,2.344839,-0.48522243,0.17677486,-0.99927425,0.60826796,0.31848457
261,2.344839,-0.48522243,0.17677486,-0.99927425,0.60826796,0.31848457
262,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
263,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
264,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
265,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
266,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
267,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
268,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
269,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
270,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
271,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
272,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
273,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
274,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
275,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
276,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
277,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
278,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
279,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
280,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
281,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
282,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
283,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
284,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
285,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
286,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
287,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
288,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
289,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
290,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
291,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
292,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
293,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
294,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
295,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
296,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
297,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
298,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
299,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
300,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
301,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
302,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
303,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
304,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
305,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
306,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
307,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
308,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
309,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
310,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
311,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
312,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
313,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
314,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
315,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
316,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
317,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
318,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
319,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
320,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
321,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
322,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
323,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
324,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
325,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
326,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
327,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
328,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
329,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
330,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
331,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
332,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
333,-0.7080838,-0.513966,-0.54889435,-0.08290354,-0.08102505,-0.025269665
334,-0.40971026,-0.60239166,-0.49983737,-0.34451008,0.029304124,-0.016226059
335,-0.40971026,-0.60239166,-0.49983737,-0.34451008,0.029304124,-0.016226059
